id_aero,nom_aero,ville_aero,gmt_aero
1,Goroka Airport,Goroka,10
2,Madang Airport,Madang,10
3,Mount Hagen Kagamuga Airport,Mount Hagen,10
4,Nadzab Airport,Nadzab,10
5,Port Moresby Jacksons International Airport,Port Moresby,10
6,Wewak International Airport,Wewak,10
7,Narsarsuaq Airport,Narssarssuaq,-3
8,Godthaab / Nuuk Airport,Godthaab,-3
9,Kangerlussuaq Airport,Sondrestrom,-3
10,Thule Air Base,Thule,-4
11,Akureyri Airport,Akureyri,0
12,Egilsstaðir Airport,Egilsstadir,0
13,Hornafjörður Airport,Hofn,0
14,Húsavík Airport,Husavik,0
15,Ísafjörður Airport,Isafjordur,0
16,Keflavik International Airport,Keflavik,0
17,Patreksfjörður Airport,Patreksfjordur,0
18,Reykjavik Airport,Reykjavik,0
19,Siglufjörður Airport,Siglufjordur,0
20,Vestmannaeyjar Airport,Vestmannaeyjar,0
21,Sault Ste Marie Airport,Sault Sainte Marie,-5
22,Winnipeg / St. Andrews Airport,Winnipeg,-6
23,Halifax / CFB Shearwater Heliport,Halifax,-4
24,St. Anthony Airport,St. Anthony,-3.5
25,Tofino / Long Beach Airport,Tofino,-8
26,Kugaaruk Airport,Pelly Bay,-7
27,Baie Comeau Airport,Baie Comeau,-5
28,CFB Bagotville,Bagotville,-5
29,Baker Lake Airport,Baker Lake,-6
30,Campbell River Airport,Campbell River,-8
31,Brandon Municipal Airport,Brandon,-6
32,Cambridge Bay Airport,Cambridge Bay,-7
33,Nanaimo Airport,Nanaimo,-8
34,Castlegar/West Kootenay Regional Airport,Castlegar,-8
35,Miramichi Airport,Chatham,-4
36,Charlo Airport,Charlo,-4
37,Kugluktuk Airport,Coppermine,-7
38,Coronation Airport,Coronation,-7
39,Chilliwack Airport,Chilliwack,-8
40,Clyde River Airport,Clyde River,-5
41,Coral Harbour Airport,Coral Harbour,-5
42,Dawson City Airport,Dawson,-8
43,Burwash Airport,Burwash,-8
44,Princeton Airport,Princeton,-8
45,Deer Lake Airport,Deer Lake,-3.5
46,Dease Lake Airport,Dease Lake,-8
47,Dauphin Barker Airport,Dauphin,-6
48,Dawson Creek Airport,Dawson Creek,-7
49,Edmonton International Airport,Edmonton,-7
50,Arviat Airport,Eskimo Point,-6
51,Estevan Airport,Estevan,-6
52,Edson Airport,Edson,-7
53,Eureka Airport,Eureka,-6
54,Inuvik Mike Zubko Airport,Inuvik,-7
55,Iqaluit Airport,Iqaluit,-5
56,Fredericton Airport,Fredericton,-4
57,Forestville Airport,Forestville,-5
58,Flin Flon Airport,Flin Flon,-6
59,Fort Resolution Airport,Fort Resolution,-7
60,Fort Simpson Airport,Fort Simpson,-7
61,Kingston Norman Rogers Airport,Kingston,-5
62,La Grande Rivière Airport,La Grande Riviere,-5
63,Gaspé (Michel-Pouliot) Airport,Gaspe,-5
64,Geraldton Greenstone Regional Airport,Geraldton,-5
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,-5
66,Hudson Bay Airport,Hudson Bay,-6
67,Dryden Regional Airport,Dryden,-6
68,Ulukhaktok Holman Airport,Holman Island,-7
69,Gjoa Haven Airport,Gjoa Haven,-7
70,John C. Munro Hamilton International Airport,Hamilton,-5
71,Montréal / Saint-Hubert Airport,Montreal,-5
72,Hay River / Merlyn Carter Airport,Hay River,-7
73,Halifax / Stanfield International Airport,Halifax,-4
74,Atikokan Municipal Airport,Atikokan,-5
75,Pond Inlet Airport,Pond Inlet,-5
76,St Jean Airport,St. Jean,-5
77,Stephenville Airport,Stephenville,-3.5
78,Kamloops Airport,Kamloops,-8
79,Waterloo Airport,Waterloo,-5
80,Schefferville Airport,Schefferville,-5
81,Kindersley Airport,Kindersley,-6
82,Buttonville Municipal Airport,Toronto,-5
83,Chapleau Airport,Chapleau,-5
84,Meadow Lake Airport,Meadow Lake,-6
85,Lloydminster Airport,Lloydminster,-7
86,Alert Airport,Alert,-5
87,Kelowna International Airport,Kelowna,-8
88,Mayo Airport,Mayo,-8
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,-6
90,Fort McMurray Airport,Fort Mcmurray,-7
91,Moosonee Airport,Moosonee,-5
92,Maniwaki Airport,Maniwaki,-5
93,Montreal International (Mirabel) Airport,Montreal,-5
94,Natashquan Airport,Natashquan,-5
95,Ottawa / Gatineau Airport,Gatineau,-5
96,Matagami Airport,Matagami,-5
97,Old Crow Airport,Old Crow,-8
98,CFB Cold Lake,Cold Lake,-7
99,High Level Airport,High Level,-7
100,Ottawa Macdonald-Cartier International Airport,Ottawa,-5
101,Prince Albert Glass Field,Prince Albert,-6
102,Peace River Airport,Peace River,-7
103,Southport Airport,Portage-la-prairie,-6
104,Pitt Meadows Airport,Pitt Meadows,-8
105,Pickle Lake Airport,Pickle Lake,-5
106,Port Menier Airport,Port Menier,-5
107,Peterborough Airport,Peterborough,-5
108,Prince Rupert Airport,Prince Pupert,-8
109,Fort Chipewyan Airport,Fort Chipewyan,-7
110,Muskoka Airport,Muskoka,-5
111,Quebec Jean Lesage International Airport,Quebec,-5
112,Red Deer Regional Airport,Red Deer Industrial,-7
113,Windsor Airport,Windsor,-5
114,Watson Lake Airport,Watson Lake,-8
115,Kenora Airport,Kenora,-6
116,Lethbridge County Airport,Lethbridge,-7
117,Greater Moncton International Airport,Moncton,-4
119,Comox Airport,Comox,-8
120,Regina International Airport,Regina,-6
121,Thunder Bay Airport,Thunder Bay,-5
122,Grande Prairie Airport,Grande Prairie,-7
123,Yorkton Municipal Airport,Yorkton,-6
124,North Battleford Airport,North Battleford,-6
125,Gander International Airport,Gander,-3.5
126,Sydney / J.A. Douglas McCurdy Airport,Sydney,-4
127,Quesnel Airport,Quesnel,-8
128,Resolute Bay Airport,Resolute,-6
129,Rivière-du-Loup Airport,Riviere Du Loup,-5
130,Roberval Airport,Roberval,-5
131,Rocky Mountain House Airport,Rocky Mountain House,-7
132,Rankin Inlet Airport,Rankin Inlet,-6
133,Sudbury Airport,Sudbury,-5
134,Sherbrooke Airport,Sherbrooke,-5
135,Saint John Airport,St. John,-4
136,Fort Smith Airport,Fort Smith,-7
137,Nanisivik Airport,Nanisivik,-5
138,Summerside Airport,Summerside,-4
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,-7
140,Cape Dorset Airport,Cape Dorset,-5
141,Thompson Airport,Thompson,-6
142,CFB Trenton,Trenton,-5
143,Timmins/Victor M. Power,Timmins,-5
144,Billy Bishop Toronto City Centre Airport,Toronto,-5
145,Tuktoyaktuk Airport,Tuktoyaktuk,-7
146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,-5
147,Repulse Bay Airport,Repulse Bay,-6
148,Hall Beach Airport,Hall Beach,-5
149,Rouyn Noranda Airport,Rouyn,-5
150,La Ronge Airport,La Ronge,-6
151,Vermilion Airport,Vermillion,-7
152,Qikiqtarjuaq Airport,Broughton Island,-5
