id_aero,nom_aero,ville_aero,pays_aero,gmt_aero
1,Goroka Airport,Goroka,Papua New Guinea,10
2,Madang Airport,Madang,Papua New Guinea,10
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,10
4,Nadzab Airport,Nadzab,Papua New Guinea,10
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,10
6,Wewak International Airport,Wewak,Papua New Guinea,10
7,Narsarsuaq Airport,Narssarssuaq,Greenland,-3
8,Godthaab / Nuuk Airport,Godthaab,Greenland,-3
9,Kangerlussuaq Airport,Sondrestrom,Greenland,-3
10,Thule Air Base,Thule,Greenland,-4
11,Akureyri Airport,Akureyri,Iceland,0
12,Egilsstaðir Airport,Egilsstadir,Iceland,0
13,Hornafjörður Airport,Hofn,Iceland,0
14,Húsavík Airport,Husavik,Iceland,0
15,Ísafjörður Airport,Isafjordur,Iceland,0
16,Keflavik International Airport,Keflavik,Iceland,0
17,Patreksfjörður Airport,Patreksfjordur,Iceland,0
18,Reykjavik Airport,Reykjavik,Iceland,0
19,Siglufjörður Airport,Siglufjordur,Iceland,0
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,0
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,-5
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,-6
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,-4
24,St. Anthony Airport,St. Anthony,Canada,-3.5
25,Tofino / Long Beach Airport,Tofino,Canada,-8
26,Kugaaruk Airport,Pelly Bay,Canada,-7
27,Baie Comeau Airport,Baie Comeau,Canada,-5
28,CFB Bagotville,Bagotville,Canada,-5
29,Baker Lake Airport,Baker Lake,Canada,-6
30,Campbell River Airport,Campbell River,Canada,-8
31,Brandon Municipal Airport,Brandon,Canada,-6
32,Cambridge Bay Airport,Cambridge Bay,Canada,-7
33,Nanaimo Airport,Nanaimo,Canada,-8
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,-8
35,Miramichi Airport,Chatham,Canada,-4
36,Charlo Airport,Charlo,Canada,-4
37,Kugluktuk Airport,Coppermine,Canada,-7
38,Coronation Airport,Coronation,Canada,-7
39,Chilliwack Airport,Chilliwack,Canada,-8
40,Clyde River Airport,Clyde River,Canada,-5
41,Coral Harbour Airport,Coral Harbour,Canada,-5
42,Dawson City Airport,Dawson,Canada,-8
43,Burwash Airport,Burwash,Canada,-8
44,Princeton Airport,Princeton,Canada,-8
45,Deer Lake Airport,Deer Lake,Canada,-3.5
46,Dease Lake Airport,Dease Lake,Canada,-8
47,Dauphin Barker Airport,Dauphin,Canada,-6
48,Dawson Creek Airport,Dawson Creek,Canada,-7
49,Edmonton International Airport,Edmonton,Canada,-7
50,Arviat Airport,Eskimo Point,Canada,-6
51,Estevan Airport,Estevan,Canada,-6
52,Edson Airport,Edson,Canada,-7
53,Eureka Airport,Eureka,Canada,-6
54,Inuvik Mike Zubko Airport,Inuvik,Canada,-7
55,Iqaluit Airport,Iqaluit,Canada,-5
56,Fredericton Airport,Fredericton,Canada,-4
57,Forestville Airport,Forestville,Canada,-5
58,Flin Flon Airport,Flin Flon,Canada,-6
59,Fort Resolution Airport,Fort Resolution,Canada,-7
60,Fort Simpson Airport,Fort Simpson,Canada,-7
61,Kingston Norman Rogers Airport,Kingston,Canada,-5
62,La Grande Rivière Airport,La Grande Riviere,Canada,-5
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,-5
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,-5
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,-5
66,Hudson Bay Airport,Hudson Bay,Canada,-6
67,Dryden Regional Airport,Dryden,Canada,-6
68,Ulukhaktok Holman Airport,Holman Island,Canada,-7
69,Gjoa Haven Airport,Gjoa Haven,Canada,-7
70,John C. Munro Hamilton International Airport,Hamilton,Canada,-5
71,Montréal / Saint-Hubert Airport,Montreal,Canada,-5
72,Hay River / Merlyn Carter Airport,Hay River,Canada,-7
73,Halifax / Stanfield International Airport,Halifax,Canada,-4
74,Atikokan Municipal Airport,Atikokan,Canada,-5
75,Pond Inlet Airport,Pond Inlet,Canada,-5
76,St Jean Airport,St. Jean,Canada,-5
77,Stephenville Airport,Stephenville,Canada,-3.5
78,Kamloops Airport,Kamloops,Canada,-8
79,Waterloo Airport,Waterloo,Canada,-5
80,Schefferville Airport,Schefferville,Canada,-5
81,Kindersley Airport,Kindersley,Canada,-6
82,Buttonville Municipal Airport,Toronto,Canada,-5
83,Chapleau Airport,Chapleau,Canada,-5
84,Meadow Lake Airport,Meadow Lake,Canada,-6
85,Lloydminster Airport,Lloydminster,Canada,-7
86,Alert Airport,Alert,Canada,-5
87,Kelowna International Airport,Kelowna,Canada,-8
88,Mayo Airport,Mayo,Canada,-8
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,-6
90,Fort McMurray Airport,Fort Mcmurray,Canada,-7
91,Moosonee Airport,Moosonee,Canada,-5
92,Maniwaki Airport,Maniwaki,Canada,-5
93,Montreal International (Mirabel) Airport,Montreal,Canada,-5
94,Natashquan Airport,Natashquan,Canada,-5
95,Ottawa / Gatineau Airport,Gatineau,Canada,-5
96,Matagami Airport,Matagami,Canada,-5
97,Old Crow Airport,Old Crow,Canada,-8
98,CFB Cold Lake,Cold Lake,Canada,-7
99,High Level Airport,High Level,Canada,-7
100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,-5
101,Prince Albert Glass Field,Prince Albert,Canada,-6
102,Peace River Airport,Peace River,Canada,-7
103,Southport Airport,Portage-la-prairie,Canada,-6
104,Pitt Meadows Airport,Pitt Meadows,Canada,-8
105,Pickle Lake Airport,Pickle Lake,Canada,-5
106,Port Menier Airport,Port Menier,Canada,-5
107,Peterborough Airport,Peterborough,Canada,-5
108,Prince Rupert Airport,Prince Pupert,Canada,-8
109,Fort Chipewyan Airport,Fort Chipewyan,Canada,-7
110,Muskoka Airport,Muskoka,Canada,-5
111,Quebec Jean Lesage International Airport,Quebec,Canada,-5
112,Red Deer Regional Airport,Red Deer Industrial,Canada,-7
113,Windsor Airport,Windsor,Canada,-5
114,Watson Lake Airport,Watson Lake,Canada,-8
115,Kenora Airport,Kenora,Canada,-6
116,Lethbridge County Airport,Lethbridge,Canada,-7
117,Greater Moncton International Airport,Moncton,Canada,-4
119,Comox Airport,Comox,Canada,-8
120,Regina International Airport,Regina,Canada,-6
121,Thunder Bay Airport,Thunder Bay,Canada,-5
122,Grande Prairie Airport,Grande Prairie,Canada,-7
123,Yorkton Municipal Airport,Yorkton,Canada,-6
124,North Battleford Airport,North Battleford,Canada,-6
125,Gander International Airport,Gander,Canada,-3.5
126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,-4
127,Quesnel Airport,Quesnel,Canada,-8
128,Resolute Bay Airport,Resolute,Canada,-6
129,Rivière-du-Loup Airport,Riviere Du Loup,Canada,-5
130,Roberval Airport,Roberval,Canada,-5
131,Rocky Mountain House Airport,Rocky Mountain House,Canada,-7
132,Rankin Inlet Airport,Rankin Inlet,Canada,-6
133,Sudbury Airport,Sudbury,Canada,-5
134,Sherbrooke Airport,Sherbrooke,Canada,-5
135,Saint John Airport,St. John,Canada,-4
136,Fort Smith Airport,Fort Smith,Canada,-7
137,Nanisivik Airport,Nanisivik,Canada,-5
138,Summerside Airport,Summerside,Canada,-4
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,-7
140,Cape Dorset Airport,Cape Dorset,Canada,-5
141,Thompson Airport,Thompson,Canada,-6
142,CFB Trenton,Trenton,Canada,-5
143,Timmins/Victor M. Power,Timmins,Canada,-5
144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,-5
145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,-7
146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,-5
147,Repulse Bay Airport,Repulse Bay,Canada,-6
148,Hall Beach Airport,Hall Beach,Canada,-5
149,Rouyn Noranda Airport,Rouyn,Canada,-5
150,La Ronge Airport,La Ronge,Canada,-6
151,Vermilion Airport,Vermillion,Canada,-7
152,Qikiqtarjuaq Airport,Broughton Island,Canada,-5
153,Val-d'Or Airport,Val D'or,Canada,-5
154,Kuujjuaq Airport,Quujjuaq,Canada,-5
155,Norman Wells Airport,Norman Wells,Canada,-7
156,Vancouver International Airport,Vancouver,Canada,-8
157,Buffalo Narrows Airport,Buffalo Narrows,Canada,-6
158,Wiarton Airport,Wiarton,Canada,-5
159,Petawawa Airport,Petawawa,Canada,-5
160,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,-6
161,Wabush Airport,Wabush,Canada,-4
162,Williams Lake Airport,Williams Lake,Canada,-8
163,Wrigley Airport,Wrigley,Canada,-7
164,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,-7
165,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,-7
166,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,-6
167,Medicine Hat Airport,Medicine Hat,Canada,-7
168,Fort St John Airport,Fort Saint John,Canada,-7
169,Sioux Lookout Airport,Sioux Lookout,Canada,-6
170,Pangnirtung Airport,Pangnirtung,Canada,-5
171,Earlton (Timiskaming Regional) Airport,Earlton,Canada,-5
172,Prince George Airport,Prince George,Canada,-8
173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,-8
174,London Airport,London,Canada,-5
175,Abbotsford Airport,Abbotsford,Canada,-8
176,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,-8
177,North Bay Jack Garland Airport,North Bay,Canada,-5
178,Calgary International Airport,Calgary,Canada,-7
179,Smithers Airport,Smithers,Canada,-8
180,Fort Nelson Airport,Fort Nelson,Canada,-8
181,Penticton Airport,Penticton,Canada,-8
182,Charlottetown Airport,Charlottetown,Canada,-4
183,Taloyoak Airport,Spence Bay,Canada,-7
184,Victoria International Airport,Victoria,Canada,-8
185,Lynn Lake Airport,Lynn Lake,Canada,-6
186,Swift Current Airport,Swift Current,Canada,-6
187,Churchill Airport,Churchill,Canada,-6
188,Goose Bay Airport,Goose Bay,Canada,-4
189,St. John's International Airport,St. John's,Canada,-3.5
190,Kapuskasing Airport,Kapuskasing,Canada,-5
191,Armstrong Airport,Armstrong,Canada,-5
192,Mont Joli Airport,Mont Joli,Canada,-5
193,Lester B. Pearson International Airport,Toronto,Canada,-5
194,Downsview Airport,Toronto,Canada,-5
195,Gore Bay Manitoulin Airport,Gore Bay,Canada,-5
196,Yellowknife Airport,Yellowknife,Canada,-7
197,Slave Lake Airport,Slave Lake,Canada,-7
198,Sandspit Airport,Sandspit,Canada,-8
199,Chris Hadfield Airport,Sarnia,Canada,-5
200,Port Hardy Airport,Port Hardy,Canada,-8
201,Whitecourt Airport,Whitecourt,Canada,-7
202,Sept-Îles Airport,Sept-iles,Canada,-5
203,Teslin Airport,Teslin,Canada,-8
204,CFB Greenwood,Greenwood,Canada,-4
205,Faro Airport,Faro,Canada,-8
206,Fort Mcpherson Airport,Fort Mcpherson,Canada,-7
207,Blida Airport,Blida,Algeria,1
208,Bou Saada Airport,Bou Saada,Algeria,1
209,Soummam Airport,Bejaja,Algeria,1
210,Houari Boumediene Airport,Algier,Algeria,1
211,Djanet Inedbirene Airport,Djanet,Algeria,1
212,Boufarik Airport,Boufarik,Algeria,1
213,Reggane Airport,Reggan,Algeria,1
214,Illizi Takhamalt Airport,Illizi,Algeria,1
215,Ain Oussera Airport,Ain Oussera,Algeria,1
216,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,1
217,Jijel Ferhat Abbas Airport,Jijel,Algeria,1
218,Mecheria Airport,Mecheria,Algeria,1
219,Relizane Airport,Relizane,Algeria,1
220,Rabah Bitat Airport,Annaba,Algeria,1
221,Mohamed Boudiaf International Airport,Constantine,Algeria,1
222,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,1
224,Hassi R'Mel Airport,Tilrempt,Algeria,1
225,Bou Chekif Airport,Tiaret,Algeria,1
