id_route,id_aero_dep,id_aero_arr,id_comp
1,2965,2990,410
2,2966,2990,410
3,2966,2962,410
4,2968,2990,410
5,2968,4078,410
6,4029,2990,410
7,4029,6969,410
8,4029,6160,410
9,6156,2952,410
10,6156,2990,410
11,2922,6969,410
12,2952,6156,410
13,2990,2965,410
14,2990,2966,410
15,2990,2968,410
16,2990,4029,410
17,2990,6156,410
18,2990,2948,410
19,2990,2975,410
20,2948,2990,410
21,2948,6969,410
22,2948,6160,410
23,2962,2966,410
24,6969,4029,410
25,6969,2922,410
26,6969,2948,410
27,6969,2975,410
28,2972,2975,410
29,2972,6160,410
30,4364,2975,410
31,4078,2968,410
32,4078,2975,410
33,2975,2990,410
34,2975,6969,410
35,2975,2972,410
36,2975,4364,410
37,2975,4078,410
38,6160,4029,410
39,6160,2948,410
40,6160,2972,410
41,2936,2937,1654
42,2936,4078,1654
43,2968,4078,1654
44,2935,2937,1654
45,2937,2936,1654
46,2937,2935,1654
47,2937,8944,1654
48,2937,4078,1654
49,2937,6924,1654
50,2937,9026,1654
51,2937,2923,1654
52,2925,4078,1654
53,8944,2937,1654
54,4078,2936,1654
55,4078,2968,1654
56,4078,2937,1654
57,6924,2937,1654
58,9026,2937,1654
59,2923,2937,1654
60,2786,2789,8359
61,2812,2789,8359
62,2812,2808,8359
63,6067,2789,8359
64,2801,2781,8359
65,2801,2806,8359
66,2789,2786,8359
67,2789,2812,8359
68,2789,6067,8359
69,2789,2781,8359
70,2789,2806,8359
71,2781,2801,8359
72,2781,2789,8359
73,2781,2806,8359
74,2808,2812,8359
75,2806,2801,8359
76,2806,2789,8359
77,2806,2781,8359
78,253,247,470
79,253,246,470
80,248,246,470
81,1044,253,470
82,1044,1084,470
83,1044,246,470
84,247,253,470
85,247,246,470
86,245,298,470
87,245,246,470
88,1084,1044,470
89,1084,246,470
90,298,246,470
91,280,246,470
92,246,253,470
93,246,248,470
94,246,1044,470
95,246,247,470
96,246,245,470
97,246,1084,470
98,246,298,470
99,246,280,470
100,2709,2673,1338
101,2709,2688,1338
102,2715,2673,1338
103,2673,2709,1338
104,2673,2715,1338
105,2673,6045,1338
106,2673,2688,1338
107,2670,2688,1338
108,6045,2673,1338
109,2688,2709,1338
110,2688,2673,1338
111,2688,2670,1338
112,1506,1678,2750
113,1264,1678,2750
114,490,1678,2750
115,1665,1054,2750
116,1197,1678,2750
117,1054,1678,2750
118,4197,1678,2750
119,1056,1665,2750
120,1678,1506,2750
121,1678,1264,2750
122,1678,490,2750
123,1678,1197,2750
124,1678,1054,2750
125,1678,4197,2750
126,730,719,3652
127,737,715,3652
128,737,709,3652
129,737,688,3652
130,737,718,3652
131,737,5595,3652
132,737,719,3652
133,737,442,3652
134,737,722,3652
135,737,448,3652
136,737,664,3652
137,737,746,3652
138,737,729,3652
139,737,711,3652
140,715,737,3652
141,715,718,3652
142,709,737,3652
143,709,688,3652
144,709,711,3652
145,5599,729,3652
146,688,737,3652
147,688,709,3652
148,435,448,3652
149,718,737,3652
150,718,715,3652
151,5595,737,3652
152,719,730,3652
153,719,737,3652
154,442,737,3652
155,442,460,3652
156,722,737,3652
157,644,711,3652
158,448,737,3652
159,448,435,3652
160,460,442,3652
161,664,737,3652
162,746,737,3652
163,729,737,3652
164,729,5599,3652
165,711,737,3652
166,711,644,3652
167,3531,7167,146
168,3531,7168,146
169,3531,7162,146
170,3531,7164,146
171,3531,7163,146
172,7167,7176,146
173,7168,7173,146
174,7162,7161,146
175,7164,7165,146
176,7173,7172,146
177,6019,2397,897
178,4200,2397,897
179,2399,2397,897
180,2400,2397,897
181,6024,2397,897
182,2425,2397,897
183,8076,2397,897
184,2402,2397,897
185,2430,2397,897
186,4203,2397,897
187,2397,6019,897
188,2397,4200,897
189,2397,2399,897
190,2397,2400,897
191,2397,6024,897
192,2397,2425,897
193,2397,8076,897
194,2397,2402,897
195,2397,2430,897
196,2397,4203,897
197,2397,2426,897
198,2397,4204,897
199,2397,2433,897
200,2397,6026,897
201,2397,6016,897
202,2397,6021,897
203,2397,2404,897
204,2426,2397,897
205,4204,2397,897
206,2433,2397,897
207,6026,2397,897
208,6016,2397,897
209,6021,2397,897
210,2404,2397,897
211,7376,4214,1729
212,7373,2531,1729
213,7373,2621,1729
214,2531,7373,1729
215,2531,7367,1729
216,2531,2613,1729
217,2535,2564,1729
218,2548,2562,1729
219,2548,7367,1729
220,2538,7380,1729
221,7380,2538,1729
222,7380,2564,1729
223,2560,2613,1729
224,2564,2535,1729
225,2564,7380,1729
226,2564,2613,1729
227,2564,2635,1729
228,2564,2633,1729
229,2564,6039,1729
230,2562,2548,1729
231,2562,4214,1729
232,2562,2613,1729
233,2562,2633,1729
234,7367,2531,1729
235,7367,2548,1729
236,2528,2613,1729
237,4214,7376,1729
238,4214,2562,1729
239,2613,2531,1729
240,2613,2560,1729
241,2613,2564,1729
242,2613,2562,1729
243,2613,2528,1729
244,2613,2619,1729
245,2613,2633,1729
246,2619,2613,1729
247,2621,7373,1729
248,2621,6039,1729
249,2635,2564,1729
250,2635,2633,1729
251,2633,2564,1729
252,2633,2562,1729
253,2633,2613,1729
254,2633,2635,1729
255,6039,2564,1729
256,6039,2621,1729
257,5726,3830,10739
258,5726,3678,10739
259,4042,3830,10739
260,4042,3678,10739
261,3591,3678,10739
262,3830,5726,10739
263,3830,4042,10739
264,3678,5726,10739
265,3678,4042,10739
266,3678,3591,10739
267,7144,7145,16262
268,7144,3808,16262
269,7145,7144,16262
270,7145,7147,16262
271,7145,3808,16262
272,7147,7145,16262
273,7147,3808,16262
274,3808,7144,16262
275,3808,7145,16262
276,3808,7147,16262
277,3808,7146,16262
278,7146,3808,16262
279,248,1084,595
280,248,273,595
281,248,1063,595
282,1218,1050,595
283,1050,1218,595
284,1050,1084,595
285,1050,1059,595
286,4162,5665,595
287,1084,248,595
288,1084,1050,595
289,1084,897,595
290,1084,1059,595
291,1084,273,595
292,1084,5665,595
293,897,1084,595
294,897,273,595
295,1059,1050,595
296,1059,1084,595
297,1059,502,595
298,1059,1063,595
299,502,1059,595
300,273,248,595
301,273,1084,595
302,273,897,595
303,273,1063,595
304,5665,4162,595
305,5665,1084,595
306,1063,248,595
307,1063,1059,595
308,1063,273,595
309,4119,2188,5521
310,4119,2072,5521
311,4119,5687,5521
312,5687,4059,5521
313,4059,5687,5521
314,3885,3316,3021
315,3999,3316,3021
316,4120,3316,3021
317,3386,3316,3021
318,3077,3316,3021
319,3179,3316,3021
320,3992,2397,3021
321,3992,2276,3021
322,3304,3316,3021
323,2397,3992,3021
324,2397,3316,3021
325,3308,3316,3021
326,3351,3316,3021
327,3034,3316,3021
328,3035,3316,3021
329,3239,3316,3021
330,3205,3316,3021
331,3316,3885,3021
332,3316,3999,3021
333,3316,4120,3021
334,3316,3386,3021
335,3316,3077,3021
336,3316,3179,3021
337,3316,3304,3021
338,3316,2397,3021
339,3316,3308,3021
340,3316,3351,3021
341,3316,3034,3021
342,3316,3035,3021
343,3316,3239,3021
344,3316,3205,3021
345,3316,4302,3021
346,3316,2276,3021
347,4302,3316,3021
348,2276,3992,3021
349,2276,3316,3021
350,1679,1558,2916
351,338,1678,2916
352,345,382,2916
353,1558,1679,2916
354,1558,382,2916
355,1558,346,2916
356,1558,1678,2916
357,382,345,2916
358,382,1558,2916
359,382,342,2916
360,382,1520,2916
361,382,351,2916
362,382,1209,2916
363,3986,1561,2916
364,1609,1678,2916
365,342,382,2916
366,346,1558,2916
367,1561,3986,2916
368,1520,382,2916
369,1612,1678,2916
370,351,382,2916
371,1209,382,2916
372,1678,338,2916
373,1678,1558,2916
374,1678,1609,2916
375,1678,1612,2916
376,3682,6958,20710
377,3682,3754,20710
378,3682,4335,20710
379,3682,5756,20710
380,3682,5759,20710
381,3682,5773,20710
382,1937,3533,20710
383,1943,3533,20710
384,1943,3722,20710
385,3875,3533,20710
386,3875,3793,20710
387,3875,3646,20710
388,3533,1937,20710
389,3533,1943,20710
390,3533,3875,20710
391,3533,1948,20710
392,3533,1941,20710
393,3533,1944,20710
394,3533,3878,20710
395,3533,1930,20710
396,3533,1934,20710
397,3533,3646,20710
398,1948,3533,20710
399,1941,3533,20710
400,1941,1944,20710
401,1944,3533,20710
402,6130,5773,20710
403,3472,3878,20710
404,3472,3646,20710
405,3712,1930,20710
406,3712,3646,20710
407,6958,3682,20710
408,3754,3682,20710
409,3754,3878,20710
410,3878,3533,20710
411,3878,3472,20710
412,3878,3754,20710
413,3878,1930,20710
414,3878,3564,20710
415,3878,3793,20710
416,3878,3698,20710
417,4335,3682,20710
418,1930,3533,20710
419,1930,3712,20710
420,1930,3878,20710
421,1930,3722,20710
422,5756,3682,20710
423,3722,1943,20710
424,3722,1930,20710
425,3722,3646,20710
426,5759,3682,20710
427,3564,3878,20710
428,3564,3646,20710
429,3793,3875,20710
430,3793,3878,20710
431,1934,3533,20710
432,3698,3878,20710
433,3698,3646,20710
434,3646,3875,20710
435,3646,3533,20710
436,3646,3472,20710
437,3646,3712,20710
438,3646,3722,20710
439,3646,3564,20710
440,3646,3698,20710
441,5773,3682,20710
442,5773,6130,20710
443,580,5673,9818
444,580,1080,9818
445,1218,1074,9818
446,1218,5673,9818
447,1218,1080,9818
448,1525,1074,9818
449,1538,1074,9818
450,302,1074,9818
451,302,5673,9818
452,302,1080,9818
453,344,5673,9818
454,1074,1218,9818
455,1074,1525,9818
456,1074,1538,9818
457,1074,302,9818
458,1074,1534,9818
459,1074,502,9818
460,1074,1335,9818
461,1074,1359,9818
462,1074,4317,9818
463,1074,1273,9818
464,1074,1539,9818
465,1534,1074,9818
466,1066,1359,9818
467,502,1074,9818
468,502,1080,9818
469,1335,1074,9818
470,1359,1074,9818
471,1359,1066,9818
472,1359,5673,9818
473,5673,580,9818
474,5673,1218,9818
475,5673,302,9818
476,5673,344,9818
477,5673,1359,9818
478,5673,3998,9818
479,3998,5673,9818
480,4317,1074,9818
481,1273,1074,9818
482,1080,580,9818
483,1080,1218,9818
484,1080,302,9818
485,1080,502,9818
486,1539,1074,9818
487,2895,2844,5002
488,2895,2848,5002
489,2896,2897,5002
490,2897,2895,5002
491,2844,2895,5002
492,2848,2895,5002
493,2966,4029,3545
494,2966,2948,3545
495,2980,4029,3545
496,4029,2966,3545
497,4029,2980,3545
498,4029,6156,3545
